Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Organelle Organization (GO:0006996)	5/437	0.9999933332428447	0.9999966048853383	0	0	0.025611606844157347	1.7074693235250537E-7	GOLGA6C;GOLGA8T;GOLGA8H;GOLGA8Q;BUB1B-PAK6
DNA Damage Response (GO:0006974)	5/421	0.9999933969323523	0.9999966048853383	0	0	0.026628251449650694	1.7582872616604727E-7	SERPINA2;SHLD3;PPP4R3C;CDPF1;HDGFL2
Cellular Response to Oxygen-Containing Compound (GO:1901701)	1/384	0.9999935530455084	0.9999966048853383	0	0	0.005794861971898583	3.735933184496212E-8	DEFB131A
Gene Expression (GO:0010467)	3/381	0.9999935662605443	0.9999966048853383	0	0	0.01762683949516982	1.134068575556677E-7	SARS1;RPS4Y2;RPS4Y1
Negative Regulation of Cell Population Proliferation (GO:0008285)	3/379	0.9999935751361161	0.9999966048853383	0	0	0.017723219119943272	1.1386963622926102E-7	TMIGD3;CCL3L1;CDPF1
Protein Phosphorylation (GO:0006468)	1/373	0.9999936020484828	0.9999966048853383	0	0	0.005971068509782952	3.820272904147533E-8	SERPINA2
Proteasomal Protein Catabolic Process (GO:0010498)	7/372	0.9999936065502898	0.9999966048853383	0	0	0.04266311992096338	2.727653836520181E-7	PRAMEF27;PRAMEF18;PRAMEF13;PRAMEF26;PRAMEF15;PRAMEF33;PRAMEF22
Protein Localization (GO:0008104)	4/371	0.9999936110509006	0.9999966048853383	0	0	0.024230547240976633	1.5480822750549994E-7	RAB6D;SEPTIN2;ATG9B;AKAIN1
Protein Ubiquitination (GO:0016567)	2/369	0.999993620185605	0.9999966048853383	0	0	0.012111296183318096	7.726806821063021E-8	RNF227;UBE2NL
mRNA Stabilization (GO:0048255)	4/57	0.9999936351044125	0.9999966048853383	0	0	0.17167642593797441	1.0927060034094182E-6	DAZ4;DAZ3;DAZ2;DAZ1
Negative Regulation of Gene Expression (GO:0010629)	1/364	0.999993643105205	0.9999966048853383	0	0	0.006123180690120397	3.8924539177608384E-8	DDX3Y
Organelle Assembly (GO:0070925)	3/346	0.9999937278235363	0.9999966048853383	0	0	0.019475754745925857	1.221557536208545E-7	SEPTIN2;ATG9B;CDC14C
Positive Regulation of Cell Migration (GO:0030335)	2/344	0.9999937375067771	0.9999966048853383	0	0	0.013020623346503708	8.154182079304828E-8	CCL3L1;SMIM22
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	7/340	0.9999937570257524	0.9999966048853383	0	0	0.04687338891380291	2.926302733273706E-7	PRAMEF27;PRAMEF18;PRAMEF13;PRAMEF26;PRAMEF15;PRAMEF33;PRAMEF22
Intracellular Protein Transport (GO:0006886)	1/326	0.9999938268125276	0.9999966048853383	0	0	0.006858311555505057	4.2337773656070655E-8	RAB6D
Positive Regulation of Cytokine Production (GO:0001819)	4/325	0.9999938319251038	0.9999966048853383	0	0	0.027796960442787063	1.7145426266899122E-7	SIGLEC16;DEFB131A;HMHB1;HLA-DRB3
Chromatin Organization (GO:0006325)	2/323	0.9999938420892022	0.9999966048853383	0	0	0.013893917358550001	8.555776715522938E-8	KDM5D;HDGFL2
Proteolysis (GO:0006508)	2/321	0.9999938523980565	0.9999966048853383	0	0	0.013983084861795211	8.596270390510827E-8	EEF1AKMT4-ECE2;PRSS2
Regulation of Cell Cycle (GO:0051726)	3/318	0.9999938678717601	0.9999966048853383	0	0	0.021250713386651656	1.3031249922224227E-7	NLRP2B;CDPF1;SMIM22
Protein Modification by Small Protein Conjugation (GO:0032446)	1/316	0.9999938783688053	0.9999966048853383	0	0	0.007081245978341005	4.33489089617433E-8	RNF227
Positive Regulation of Apoptotic Process (GO:0043065)	2/313	0.9999938940344083	0.9999966048853383	0	0	0.014351223363939423	8.762834358705812E-8	NLRP2B;PANO1
Protein Transport (GO:0015031)	3/308	0.9999939205341851	0.9999966048853383	0	0	0.02196360661120546	1.3352740145231795E-7	RAB6D;CTAGE9;CTAGE8
DNA Metabolic Process (GO:0006259)	1/302	0.9999939528551298	0.9999966048853383	0	0	0.0074182398733255795	4.485930683124901E-8	SERPINA2
DNA Repair (GO:0006281)	2/302	0.9999939528551298	0.9999966048853383	0	0	0.014889472532282776	9.003906968320979E-8	SERPINA2;UBE2NL
Regulation of Intracellular Signal Transduction (GO:1902531)	4/302	0.9999939528551298	0.9999966048853383	0	0	0.02999305716269382	1.8137291015709672E-7	SMIM29;PIGBOS1;GPAT3;BUB1B-PAK6
RNA Processing (GO:0006396)	1/291	0.9999940135463673	0.9999966048853383	0	0	0.007705846731976208	4.6130832241852905E-8	NLRP2B
Cellular Response to Cytokine Stimulus (GO:0071345)	2/289	0.9999940248135447	0.9999966048853383	0	0	0.015578779275270476	9.308638902004515E-8	HMHB1;PYDC5
Positive Regulation of Mononuclear Cell Migration (GO:0071677)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	DEFB131A
Acetylcholine Receptor Signaling Pathway (GO:0095500)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	SLURP2
Positive Regulation of Synapse Assembly (GO:0051965)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	ARMCX5-GPRASP2
Phospholipid Translocation (GO:0045332)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	PLSCR3
Skeletal Muscle Organ Development (GO:0060538)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	MYMX
Smoothened Signaling Pathway (GO:0007224)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	SEPTIN2
Positive Regulation of Cytokine Production Involved in Immune Response (GO:0002720)	1/35	0.9999940284548962	0.9999966048853383	0	0	0.06696208764155588	3.998683205161804E-7	DEFB131A
Central Nervous System Development (GO:0007417)	2/288	0.9999940304819068	0.9999966048853383	0	0	0.0156343984315094	9.33301028809331E-8	EEF1AKMT4-ECE2;VCY
Negative Regulation of Signal Transduction (GO:0009968)	1/277	0.9999940938625131	0.9999966048853383	0	0	0.00810504808321262	4.7869669679590384E-8	NLRP2B
Cellular Component Assembly (GO:0022607)	1/277	0.9999940938625131	0.9999966048853383	0	0	0.00810504808321262	4.7869669679590384E-8	NLGN4Y
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	2/277	0.9999940938625131	0.9999966048853383	0	0	0.016272906345132215	9.61103060056892E-8	SEPTIN2;CDC14C
Chromatin Remodeling (GO:0006338)	2/262	0.9999941838893577	0.9999966048853383	0	0	0.017230668215566444	1.0021576421611778E-7	KDM5D;HDGFL2
Inflammatory Response (GO:0006954)	2/261	0.9999941900653957	0.9999966048853383	0	0	0.017298463457360372	1.0050323340113245E-7	TMIGD3;CCL3L1
Regulation of MAPK Cascade (GO:0043408)	2/260	0.9999941962700012	0.9999966048853383	0	0	0.01736678424366433	1.0079241918409309E-7	SMIM29;BUB1B-PAK6
Lipid Metabolic Process (GO:0006629)	4/259	0.9999942024071085	0.9999966048853383	0	0	0.035161466885604814	2.0385246139957728E-7	PLPPR1;PLPPR2;PLPPR3;PLPPR4
Positive Regulation of Signal Transduction (GO:0009967)	2/256	0.9999942211221862	0.9999966048853383	0	0	0.017645446978352918	1.0197117669814747E-7	PCDH11Y;NOTCH2NLB
Cytokine-Mediated Signaling Pathway (GO:0019221)	2/255	0.99999422745181	0.9999966048853383	0	0	0.0177164894541925	1.0226958431043748E-7	CCL3L1;LILRA3
Positive Regulation of Cell Motility (GO:2000147)	2/249	0.9999942656086961	0.9999966048853383	0	0	0.018154824406336312	1.0410716569566376E-7	CCL3L1;SMIM22
Positive Regulation of Programmed Cell Death (GO:0043068)	2/248	0.9999942719997457	0.9999966048853383	0	0	0.0182299590559924	1.0442150917273725E-7	NLRP2B;PANO1
Cilium Assembly (GO:0060271)	2/247	0.9999942785377458	0.9999966048853383	0	0	0.01830570704972731	1.0473571154233367E-7	SEPTIN2;CDC14C
Positive Regulation of Developmental Process (GO:0051094)	1/245	0.9999942914905637	0.9999966048853383	0	0	0.009189529505775238	5.245866562908173E-8	SHLD3
Negative Regulation of Multicellular Organismal Process (GO:0051241)	1/243	0.999994304600836	0.9999966048853383	0	0	0.009266832417094268	5.277845989814189E-8	DCANP1
Translation (GO:0006412)	3/232	0.9999943782843292	0.9999966048853383	0	0	0.029416298225099814	1.6537052954116238E-7	SARS1;RPS4Y2;RPS4Y1
Apoptotic Process (GO:0006915)	3/232	0.9999943782843292	0.9999966048853383	0	0	0.029416298225099814	1.6537052954116238E-7	PLSCR3;C19ORF12;BUB1B-PAK6
Cilium Organization (GO:0044782)	2/230	0.9999943919849519	0.9999966048853383	0	0	0.019695084724286094	1.1045064121250725E-7	SEPTIN2;CDC14C
Protein Polyubiquitination (GO:0000209)	2/228	0.9999944057841845	0.9999966048853383	0	0	0.019872282813961733	1.1117014976263693E-7	UBE2NL;UBE2L5
Positive Regulation of Cell Division (GO:0051781)	2/44	0.9999944453691402	0.9999966048853383	0	0	0.10837007160053778	6.019574158212349E-7	OPN1MW3;CDC14C
Regulation of Cell Growth (GO:0001558)	4/222	0.9999944479119696	0.9999966048853383	0	0	0.04124071647007427	2.289727239190544E-7	CDPF1;PRSS2;HDGFL2;BUB1B-PAK6
Defense Response to Bacterium (GO:0042742)	9/221	0.9999944550329517	0.9999966048853383	0	0	0.09553805367358646	5.297568282220712E-7	WFDC11;DEFB128;DEFB136;RNASE12;DEFB107A;DEFB132;DEFB110;DEFB106A;DEFB109B
Regulation of Canonical Wnt Signaling Pathway (GO:0060828)	1/216	0.9999944910939375	0.9999966048853383	0	0	0.010451184928186748	5.7574754598777436E-8	TLE7
Protein Stabilization (GO:0050821)	1/212	0.9999945204101414	0.9999966048853383	0	0	0.010652422988698864	5.837106890368884E-8	GBA3
Regulation of Angiogenesis (GO:0045765)	1/211	0.999994527803685	0.9999966048853383	0	0	0.01070393034942518	5.8574168478647545E-8	SARS1
Modification-Dependent Protein Catabolic Process (GO:0019941)	1/208	0.9999945502508946	0.9999966048853383	0	0	0.010861438365559275	5.919227530811583E-8	UBE2L5
Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	2/202	0.9999945959095984	0.9999966048853383	0	0	0.022498358502954695	1.2158349176234801E-7	DDX3Y;CDPF1
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	1/202	0.9999945959095984	0.9999966048853383	0	0	0.011190559593302158	6.047495909311039E-8	OR5AN1
Axonogenesis (GO:0007409)	1/200	0.9999946113669432	0.9999966048853383	0	0	0.011304677003926575	6.091692032906476E-8	PLPPR4
Protein Localization to Membrane (GO:0072657)	1/199	0.9999946191293188	0.9999966048853383	0	0	0.011362600235076847	6.114084696331635E-8	RAB6D
Response to Endoplasmic Reticulum Stress (GO:0034976)	1/196	0.9999946426813023	0.9999966048853383	0	0	0.01153993443505999	6.18232721223855E-8	TMEM238L
Endomembrane System Organization (GO:0010256)	4/196	0.9999946426813023	0.9999966048853383	0	0	0.04691434044882321	2.513357465184556E-7	GOLGA6C;GOLGA8T;GOLGA8H;GOLGA8Q
Regulation of Programmed Cell Death (GO:0043067)	13/195	0.9999946506044965	0.9999966048853383	0	0	0.16120468907839405	8.623499454187182E-7	USP17L15;USP17L17;USP17L19;USP17L21;USP17L20;USP17L12;USP17L22;USP17L3;USP17L13;USP17L7;USP17L4;PLSCR3;USP17L8
Negative Regulation of Cytokine Production (GO:0001818)	1/191	0.9999946826857972	0.9999966048853383	0	0	0.011847935940293866	6.299936554346404E-8	SARS1
Macromolecule Biosynthetic Process (GO:0009059)	3/189	0.9999946989497625	0.9999966048853383	0	0	0.03633070474152769	1.9259140146921272E-7	SARS1;RPS4Y2;RPS4Y1
Small GTPase-mediated Signal Transduction (GO:0007264)	2/188	0.9999947071150161	0.9999966048853383	0	0	0.02421649404471932	1.2817545690016074E-7	C15ORF62;CDPF1
Negative Regulation of Cell Migration (GO:0030336)	2/184	0.9999947401837362	0.9999966048853383	0	0	0.02475594005469252	1.302120385703012E-7	TMIGD3;FIGNL2
Extracellular Matrix Organization (GO:0030198)	2/182	0.9999947569840679	0.9999966048853383	0	0	0.025034653826512	1.3125743295914414E-7	MANSC4;PRSS2
Double-Strand Break Repair (GO:0006302)	1/176	0.999994808255142	0.9999966048853383	0	0	0.012877540972075684	6.685708067837111E-8	SERPINA2
Membrane Organization (GO:0061024)	1/173	0.9999948344585323	0.9999966048853383	0	0	0.013105011851190273	6.76946569916601E-8	PLSCR3
Heart Development (GO:0007507)	3/171	0.9999948521930541	0.9999966048853383	0	0	0.0402760513169313	2.0733387038206663E-7	EEF1AKMT4-ECE2;CDPF1;UTY
